temperature,total_energy,specific_heat,magnetization_per_site,magnetic_susceptibility
0.015,-2592.0,0.0,1.0,0.0
0.03,-2592.0,0.0,1.0,0.0
0.045,-2592.0,0.0,1.0,0.0
0.06,-2592.0,0.0,1.0,0.0
0.075,-2592.0,0.0,1.0,0.0
0.09,-2592.0,0.0,1.0,0.0
0.105,-2592.0,0.0,1.0,0.0
0.12,-2592.0,0.0,1.0,0.0
0.135,-2592.0,0.0,1.0,0.0
0.15,-2592.0,0.0,1.0,0.0
0.16499999999999998,-2592.0,0.0,1.0,0.0
0.18,-2592.0,0.0,1.0,0.0
0.195,-2592.0,0.0,1.0,0.0
0.21,-2592.0,0.0,1.0,0.0
0.22499999999999998,-2592.0,0.0,1.0,0.0
0.24,-2592.0,0.0,1.0,0.0
0.255,-2592.0,0.0,1.0,0.0
0.27,-2592.0,0.0,1.0,0.0
0.285,-2592.0,0.0,1.0,0.0
0.3,-2592.0,0.0,1.0,0.0
0.315,-2592.0,0.0,1.0,0.0
0.32999999999999996,-2592.0,0.0,1.0,0.0
0.345,-2592.0,0.0,1.0,0.0
0.36,-2592.0,0.0,1.0,0.0
0.375,-2592.0,0.0,1.0,0.0
0.39,-2592.0,0.0,1.0,0.0
0.40499999999999997,-2592.0,0.0,1.0,0.0
0.42,-2592.0,0.0,1.0,0.0
0.435,-2592.0,0.0,1.0,0.0
0.44999999999999996,-2592.0,0.0,1.0,0.0
0.46499999999999997,-2591.9997333333336,7.612602799945924e-06,0.9999999485596708,2.2124114153602055e-07
0.48,-2592.0,0.0,1.0,0.0
0.495,-2591.9992,2.0152134333514025e-05,0.9999998456790122,6.234570677902824e-07
0.51,-2591.9989333333333,2.531136019426424e-05,0.999999794238683,8.067998974785736e-07
0.525,-2591.9984,3.58260978197972e-05,0.9999996913580247,1.1755437766071606e-06
0.54,-2591.9976,5.079002118607134e-05,0.999999537037037,1.714162944921327e-06
0.5549999999999999,-2591.995733333333,8.545865705989475e-05,0.9999991769547323,2.9643476430286736e-06
0.57,-2591.993066666667,0.00013161360841401146,0.9999986625514401,4.68873521061584e-06
0.585,-2591.989466666667,0.00019335096084027603,0.9999979423868307,7.376925900906338e-06
0.6,-2591.9821333333334,0.0003056715428445933,0.9999965534979417,1.1462684401664092e-05
0.615,-2591.9744,0.00041646906540861,0.999995061728394,1.600803173920301e-05
0.63,-2591.966933333333,0.0005204427624737508,0.9999936213991752,2.049243723283618e-05
0.645,-2591.9548,0.0006698407399580152,0.9999912551440308,2.7281190144155387e-05
0.6599999999999999,-2591.9384,0.0008662052623505734,0.999988117283948,3.573097243535596e-05
0.6749999999999999,-2591.9244,0.0010244903506876387,0.9999853909464982,4.348598046988173e-05
0.69,-2591.9057333333335,0.0012363297865181132,0.9999817386831232,5.4094235942777097e-05
0.705,-2591.8788,0.0015163948125049695,0.9999765432098708,6.757564659332556e-05
0.72,-2591.8458666666666,0.0018349078744172762,0.9999701646090461,8.356006606646815e-05
0.735,-2591.7950666666666,0.002311378311657129,0.9999603395061631,0.00010738577132824456
0.75,-2591.752,0.002757150434540132,0.9999519547324984,0.0001312649689424461
0.765,-2591.701866666667,0.003177943740619187,0.9999422325102739,0.000154248709240706
0.78,-2591.6277333333333,0.0038055412614162805,0.9999280349794062,0.00018700013242505082
0.7949999999999999,-2591.5558666666666,0.00438928043354323,0.9999137345678806,0.0002237823818478117
0.8099999999999999,-2591.4562666666666,0.005199488352417049,0.9998942901234321,0.0002703135743686858
0.825,-2591.3368,0.006024063031640579,0.9998711934156066,0.00031811945304902815
0.84,-2591.2372,0.006728071547890896,0.9998514403291827,0.0003652241768443381
0.855,-2591.080266666667,0.007873222636685656,0.9998208333332923,0.0004349414332693869
0.87,-2590.898133333333,0.008947881666211853,0.9997852366254647,0.0005039945911094448
0.885,-2590.7574666666665,0.00992005223172652,0.9997576646089976,0.0005720881585407331
0.8999999999999999,-2590.5142666666666,0.011499323460043917,0.9997093106995225,0.0006806745456877651
0.9149999999999999,-2590.279466666667,0.01285333761246221,0.999664043209802,0.0007671863978720612
0.9299999999999999,-2590.020666666667,0.014452632629853837,0.9996122427982711,0.0008863172138927301
0.945,-2589.6764,0.01663171043484225,0.9995444444443479,0.0010400973540721941
